,date,tweet,word,source_file
5140,2023-12-16,"Actions have consequences, and we will continue holding these morally bankrupt colleges and universities accountable.

“Republicans push to 'defund' Harvard, other colleges that 'promote antisemitism'” https://foxbusiness.com/politics/republicans-push-defund-harvard-colleges-promote-antisemitism…",zionist,scraped_tweets_zionist_78810.json
5141,2023-12-16,"I’d say white supremacy is a structure, and Zionism is no exception. The Black and Brown Zionists shed their identities for a collective manufactured white supremacist Zionist one which demonizes Brown Palestinians. Re “the Arab world” that’s a wholly different topic",zionist,scraped_tweets_zionist_78810.json
5142,2023-12-16,"Anyway the most unserious thing about shaming gays for not supporting Israel, is that the most hateful specific TERF mentions come from zionists and the most hateful anti Palestinian eugenics comes from TERFs",zionist,scraped_tweets_zionist_78810.json
5143,2023-12-16,"They can excuse transness but they draw the line at seeing the humanity of Palestinians, apparently",zionist,scraped_tweets_zionist_78810.json
5144,2023-12-16,"Not even a rival cousin, just a cousin, Nazis collaborated with Zionists, they outlawed all Jewish publications *except* for Zionist ones and helped fund Zionist immigration to Palestine",zionist,scraped_tweets_zionist_78810.json
5145,2023-12-16,"Zionism is not a trauma response to WW2, nor is it about Judaism. Theodore Herzl was an atheist, and jews to him were a race. Zionism is one of the last stands of 19th century ethnonationalism, a child of Cecil Rhodes. It is not a reaction to nazism but kin to it, a rival cousin.",zionist,scraped_tweets_zionist_78810.json
5146,2023-12-16,"""you all die and disappear"" has been zionist mantra for 100 years",zionist,scraped_tweets_zionist_78810.json
5147,2023-12-16,It's actually very uncomplicated unless you're a zionist,zionist,scraped_tweets_zionist_78810.json
5148,2023-12-16,Please call a Jewish friend and ask if they condem zionists and their racist ideology of hate.,zionist,scraped_tweets_zionist_78810.json
5149,2023-12-16,Never understood black people supporting zionists tbh. Why would you forget your own history & back occupiers when this is exactly what your ancestors fought tooth & nail?,zionist,scraped_tweets_zionist_78810.json
5150,2023-12-16,"You won't hear from any ""Christian Zionists"", who aren't actually Christians by any stretch of the imagination...",zionist,scraped_tweets_zionist_78810.json
5151,2023-12-16,"https://twitter.com/JamesKroeger5/status/1712856878445638043…
Christian Zionists fell in love with the Pharisees, who compensated them well for pushing the idea that 'The Jews' are still God's Chosen People, in spite of the fact that Christianity is based upon the belief that Jesus had completely closed that chapter…",zionist,scraped_tweets_zionist_78810.json
5152,2023-12-16,"1. I believe the Catholic church before believing zionists. 

2. Even if there was no Catholic Church involved, “Israel” track record of lying every time is close to 100%",zionist,scraped_tweets_zionist_78810.json
5153,2023-12-16,It got vandalised by zionists. So the organisation in charge of the building is repainting it.,zionist,scraped_tweets_zionist_78810.json
5154,2023-12-16,"Zionist? I saw a video where she was saying the bombings need to stop 

I’m gonna look into it but that would be so disappointing =\",zionist,scraped_tweets_zionist_78810.json
5155,2023-12-16,"Rafida.

Zionists are clear enemies. Rafida are wolves in sheep's clothing.",zionist,scraped_tweets_zionist_78810.json
5156,2023-12-16,"I admire Martin Luther King, but he was completely wrong that anti-Semitism and anti-Zionism are the same thing, no, they are not. True Jews even say they are not the same thing. Not all Jews are Zionists or Bolsheviks.",zionist,scraped_tweets_zionist_78810.json
5157,2023-12-16,"False. There are more Evangelical Zionists, Secular Zionists, and Muslim Zionists than Jewish Zionists.",zionist,scraped_tweets_zionist_78810.json
5158,2023-12-16,I believe I said the claims weren’t true. Or mostly not true. It’s complicated.,zionist,scraped_tweets_zionist_78810.json
5159,2023-12-16,"In the early 1960’s, the US State Department was not locked in to a biased acceptance or approval of Israeli policies.
#ProudBlue
From Dallas to Gaza: How JFK’s Assassination Was Good for Zionist Israel",zionist,scraped_tweets_zionist_78810.json
5160,2023-12-16,The Zionists invaded a space that was not their own and claimed it for themselves. That tracks.,zionist,scraped_tweets_zionist_78810.json
5161,2023-12-16,It's all to protect it's camouflaged neo colonial weapon. Zionist israel Is the empire's deathstar.,zionist,scraped_tweets_zionist_78810.json
5162,2023-12-16,Which Zionist owned president are you voting for?,zionist,scraped_tweets_zionist_78810.json
5163,2023-12-16,"Animated reconstrucion of IDF Israel Diapers Force shooting hostages, their own civilians waving white flag.

Zionist Terrorist are just too confused by how the war are going in Gaza, because they are trained to shoot civilian and babies in incubator.

#IsraelisATerorrist
#Gaza",zionist,scraped_tweets_zionist_78810.json
5164,2023-12-16," The number of martyrs in the West Bank has risen to 291 martyrs since October 7th

The child , Atallah Ziad Badha, 16, was martyred after being shot in the chest by Zionist forces in Deir Ammar camp, west of Ramallah. (1/",zionist,scraped_tweets_zionist_78810.json
5165,2023-12-16,You could just say he's a zionist.,zionist,scraped_tweets_zionist_78810.json
5166,2023-12-16,"Benny Blanco is a 35-year-old Jew, he has already made it clear that he is a Zionist",zionist,scraped_tweets_zionist_78810.json
5167,2023-12-16,"They’re insane, utterly murderous genocidal fascists and multiple American presidents have just hoped they wouldn’t be the ones who had to deal with that, when the shit hit the fan. It’s extremely unfortunate the guy in charge is an utterly clueless nine million year old Zionist.",zionist,scraped_tweets_zionist_78810.json
5168,2023-12-16,"No way ppl are determined to ruin someone's career and mentality just bc he didn't say what u wanted to hear HOW u wanted to hear it

LEAVE MS alone, he clearly said he SUPPORTS a free Palestine, but standing w the innocent, REGARDLESS OF WHICH INNOCENT doesn't make him a Zionist",zionist,scraped_tweets_zionist_78810.json
5169,2023-12-16,A horror! Zionist barbarism must be stopped! Who can stop it? Only the world working class! http://Wsws.org,zionist,scraped_tweets_zionist_78810.json
5170,2023-12-16,"Zionist satanic colony is septic pit of the world,worst shit end up there",zionist,scraped_tweets_zionist_78810.json
5171,2023-12-16,Wtf is this sh*t? ,zionist,scraped_tweets_zionist_78810.json
5172,2023-12-16,It's really easy to debunk the zionists propaganda,zionist,scraped_tweets_zionist_31767.json
5173,2023-12-16,Btw if you come to my page looking for Olivia slander this isn't the place... Sorry! Maybe try that curly haired Zionist freak page ,zionist,scraped_tweets_zionist_78810.json
5174,2023-12-16,Zionist telling lies.  What a surprise.,zionist,scraped_tweets_zionist_78810.json
5175,2023-12-16,Oh Dullo Beghairato where is the message can you the share the message he gave to Zionist Israeli state. Dullobpunbai generals… khothay khor.,zionist,scraped_tweets_zionist_78810.json
5176,2023-12-16,"COAS General Syed Asim Munir Reiterates #Pakistan's Firm Position on #Palestine, Expresses Deep Concern for Innocent Lives in #Gaza

#Pakistan Stands with #Palestine",zionist,scraped_tweets_zionist_78810.json
5177,2023-12-16,Yea because if a Zionist says it happened three times the. It must have happened. Now go to a mirror and say Candy Man three times.,zionist,scraped_tweets_zionist_78810.json
5178,2023-12-16,"Repeat after me:

Hamas hid weapons in incubators in the NICU.
Hamas hid weapons in incubators in the NICU.
Hamas hid weapons in incubators in the NICU. x.com/cogatonline/st…",zionist,scraped_tweets_zionist_78810.json
5179,2023-12-16,"An eye for an eye. A tooth for a tooth.

For the red terror.
For the hundreds of millions of people who died in WW1 and WW2.
For 9/11.
For Iraq.
For Gaza.

The Zionist blood account is full, and it's time for them to reap what they have sown. https://t.co/KHZOYfxxbZ",zionist,scraped_tweets_zionist_78810.json
5180,2023-12-16,"The US paid for #Israel to invade a hospital, kick out medical staff, leaving preemie babies to die and ROT. 
#DefundIsrael remove all Zionists from the US government.",zionist,scraped_tweets_zionist_78810.json
5181,2023-12-16,"Zionists are the most evil people on the face of the earth.

#Is666l #Zionazism #GazaMassacre #GazaGenocide https://x.com/nalaboug/statu/nalaboug/status/1736133483183927587…",zionist,scraped_tweets_zionist_78810.json
5182,2023-12-16,"""it is our duty as Jews to be anti-Zionist""",zionist,scraped_tweets_zionist_78810.json
5183,2023-12-16,"Professor @Tracking_Power goes into detail about how he was dismissed from his position at Bristol University following a sustained campaign by extremist Zionist groups in the UK.

Follow @EyeOnIslamshow ",zionist,scraped_tweets_zionist_78810.json
5184,2023-12-16, ISRAEL is a TERRORIST STATE!,zionist,scraped_tweets_zionist_31767.json
